Date,Open,High,Low,Close,Adj Close,,,,,
9/25/2014,0.612459884,0.611850192,0.61424986,0.612590074,0.612590074,1.63276,1.634387,1.628002,1.632413,1.632413
9/26/2014,0.612260017,0.612179807,0.615729803,0.612320001,0.612320001,1.633293,1.633507,1.624089,1.633133,1.633133
9/29/2014,0.615569855,0.614509931,0.616609867,0.615829908,0.615829908,1.624511,1.627313,1.621771,1.623825,1.623825
9/30/2014,0.615689998,0.61395005,0.618429955,0.615680142,0.615680142,1.624194,1.628797,1.616998,1.62422,1.62422
10/1/2014,0.616730036,0.615560003,0.618519845,0.616760085,0.616760085,1.621455,1.624537,1.616763,1.621376,1.621376
10/2/2014,0.617550031,0.615389917,0.62053987,0.61758016,0.61758016,1.619302,1.624986,1.6115,1.619223,1.619223
10/3/2014,0.618890008,0.618890008,0.626800092,0.618809967,0.618809967,1.615796,1.615796,1.595405,1.616005,1.616005
10/6/2014,0.626420016,0.623950204,0.62644984,0.626410206,0.626410206,1.596373,1.602692,1.596297,1.596398,1.596398
10/7/2014,0.622059989,0.620100047,0.623889866,0.622080111,0.622080111,1.607562,1.612643,1.602847,1.60751,1.60751
10/8/2014,0.621449967,0.620860028,0.623339968,0.621539965,0.621539965,1.60914,1.610669,1.604261,1.608907,1.608907
10/9/2014,0.618620094,0.616330161,0.620150039,0.618700086,0.618700086,1.616501,1.622507,1.612513,1.616292,1.616292
10/10/2014,0.620240045,0.619729971,0.624610009,0.620240045,0.620240045,1.612279,1.613606,1.600999,1.612279,1.612279
10/13/2014,0.621449967,0.620070056,0.622919837,0.621390112,0.621390112,1.60914,1.612721,1.605343,1.609295,1.609295
10/14/2014,0.622360027,0.621810114,0.628529982,0.622399924,0.622399924,1.606787,1.608208,1.591014,1.606684,1.606684
10/15/2014,0.629129844,0.624220115,0.629720146,0.62926999,0.62926999,1.589497,1.601999,1.588007,1.589143,1.589143
10/16/2014,0.625449933,0.622539801,0.627230195,0.625309919,0.625309919,1.598849,1.606323,1.594311,1.599207,1.599207
10/17/2014,0.621160066,0.62014004,0.623759887,0.62127005,0.62127005,1.609891,1.612539,1.603181,1.609606,1.609606
10/20/2014,0.621429885,0.619160159,0.621810114,0.621419845,0.621419845,1.609192,1.615091,1.608208,1.609218,1.609218
10/21/2014,0.619029844,0.617780081,0.620120043,0.618849793,0.618849793,1.615431,1.618699,1.612591,1.615901,1.615901
10/22/2014,0.620640004,0.619890168,0.624300004,0.62053987,0.62053987,1.61124,1.613189,1.601794,1.6115,1.6115
10/23/2014,0.623240126,0.622699902,0.625130105,0.623249837,0.623249837,1.604518,1.60591,1.599667,1.604493,1.604493
10/24/2014,0.623959937,0.621160066,0.624139857,0.623849777,0.623849777,1.602667,1.609891,1.602205,1.60295,1.60295
10/27/2014,0.621429885,0.619310089,0.621609895,0.621390112,0.621390112,1.609192,1.6147,1.608726,1.609295,1.609295
10/28/2014,0.620130041,0.617930107,0.621490134,0.620160038,0.620160038,1.612565,1.618306,1.609036,1.612487,1.612487
10/29/2014,0.619490023,0.618809967,0.620900119,0.619470068,0.619470068,1.614231,1.616005,1.610565,1.614283,1.614283
10/30/2014,0.624860188,0.623920228,0.626290158,0.624780155,0.624780155,1.600358,1.602769,1.596704,1.600563,1.600563
10/31/2014,0.625,0.624569828,0.626849991,0.624960159,0.624960159,1.6,1.601102,1.595278,1.600102,1.600102
11/3/2014,0.62609018,0.624319882,0.627669951,0.626029819,0.626029819,1.597214,1.601743,1.593194,1.597368,1.597368
11/4/2014,0.625940084,0.62448987,0.626330169,0.625830007,0.625830007,1.597597,1.601307,1.596602,1.597878,1.597878
